"titulo","autor","precio","enlace","editorial","encuadernacion","paginas","publicacion","precio_pag","anio"
"DIRECCION ESTRATEGICA INTERNACIONAL","Jose Antonio Jimenez Quintero / Ignacio Aldeanueva Fernandez",55464.04,"https://www.yenny-elateneo.com/productos/direccion-estrategica-internacional/","Piramide","Tapa Blanda",332,"12/2018",167.060361445783,2018
"DIPLOMACIA EN LA EMPRESA","Eduardo Jara Roncati",41934.52,"https://www.yenny-elateneo.com/productos/diplomacia-en-la-empresa/","Piramide","Tapa Blanda",324,"12/2018",129.427530864198,2018
"ECONOMIA DE LAS CIUDADES DE AMERICA LATINA HOY - VOL 1","Jose Luis Coraggio / Ruth Munoz",25000,"https://www.yenny-elateneo.com/productos/economia-de-las-ciudades-de-america-latina-hoy-vol-1/","Universidad Nacional De Mar Del Plata","Tapa Blanda",372,"12/2018",67.2043010752688,2018
"FEELING INTELIGENCIA EMOCIONAL APLICADA A LA VENTA","Raquel Anon Davo / Miguel Diaz Escoto Angel",40600,"https://www.yenny-elateneo.com/productos/feeling-inteligencia-emocional-aplicada-a-la-venta/","Kolima","Tapa Blanda",224,"03/2017",181.25,2017
"GESTION DE RIESGO COMUNICACIONAL","Alejandro Ruiz Balza / Gustavo Coppola",21500,"https://www.yenny-elateneo.com/productos/gestion-de-riesgo-comunicacional/","Ugerman Editor","Tapa Blanda",NA,"09/2018",NA,2018
"DOCUMENTACION E INFORMES EN CONSUMO - UF1756","Enrique Garcia Prado",23528.08,"https://www.yenny-elateneo.com/productos/documentacion-e-informes-en-consumo-uf1756/","Paraninfo","Tapa Blanda",138,"02/2017",170.493333333333,2017
"EL ANTILIDER","Andres Hatum",37799,"https://www.yenny-elateneo.com/productos/el-antilider/","Vergara","Tapa Blanda",240,"09/2018",157.495833333333,2018
"DESCUBRIENDO EL BITCOIN","Andrei Boar",39700,"https://www.yenny-elateneo.com/productos/descubriendo-el-bitcoin/","Profit","Tapa Blanda",176,"08/2018",225.568181818182,2018
"EL LADO FEMENINO DEL PODER","Patricia Debeljuh / Sandra Idrovo Carlier / Maria Bernal Gonzales",19200,"https://www.yenny-elateneo.com/productos/el-lado-femenino-del-poder/","Lid","Tapa Blanda",100,"07/2018",192,2018
"EL PODER DE LOS PARES","Leon Shapiro / Leo Bottary",31990,"https://www.yenny-elateneo.com/productos/el-poder-de-los-pares/","Temas Grupo Editorial Srl","Tapa Blanda",224,"08/2016",142.8125,2016
"LA ESTAFA DEL TARIFAZO","Federico Bernal",21900,"https://www.yenny-elateneo.com/productos/la-estafa-del-tarifazo/","Colihue","Tapa Blanda",352,"06/2018",62.2159090909091,2018
"AJUSTADOS","Diego Rubinzal / Carlos Heller",18900,"https://www.yenny-elateneo.com/productos/ajustados/","Colihue","Tapa Blanda",288,"06/2018",65.625,2018
"DIRECCION ESTRATEGICA DE RRHH VOL II - CASOS (3RA ED.)","Martha Alles",36900,"https://www.yenny-elateneo.com/productos/direccion-estrategica-de-rrhh-vol-ii-casos-3ra-ed/","Granica","Tapa Blanda",256,"06/2016",144.140625,2016
"UNA REPUBLICA SIN BUITRES","Juan Jose Cruces",4300,"https://www.yenny-elateneo.com/productos/una-republica-sin-buitres/","Fondo De Cultura Economica","Tapa Blanda",180,"06/2016",23.8888888888889,2016
"EL CRIMEN DE LA DEUDA EXTERNA","Nestor Forero",26040,"https://www.yenny-elateneo.com/productos/el-crimen-de-la-deuda-externa/","Fabro","Tapa Blanda",360,"05/2016",72.3333333333333,2016
"LA MONEDA IMPOSIBLE","Alexandre Roig",26000,"https://www.yenny-elateneo.com/productos/la-moneda-imposible/","Fondo De Cultura Economica","Tapa Blanda",308,"03/2016",84.4155844155844,2016
"LA SEGUNDA ERA DE LAS MAQUINAS","Erik Brynjolfsson / Andrew Mcafee",28990,"https://www.yenny-elateneo.com/productos/la-segunda-era-de-las-maquinas/","Temas Grupo Editorial Srl","Tapa Blanda",272,"03/2016",106.580882352941,2016
"DEUDAS SOCIALES EN LA ARGENTINA POSREFORMA","Agustin Salvia",22800,"https://www.yenny-elateneo.com/productos/deudas-sociales-en-la-argentina-posreforma/","Biblos","Tapa Blanda",NA,"02/2012",NA,2012
"DIRECCION ESTRATEGICA DE LOS RECURSOS HUMANOS","Eneka Albizu Gallastegui / Jon Landeta Rodriguez",88990.68,"https://www.yenny-elateneo.com/productos/direccion-estrategica-de-los-recursos-humanos/","Piramide","Tapa Blanda",574,"01/2012",155.036027874564,2012
"ECONOMIA: VERDADES Y MENTIRAS","Thomas Sowell",21300,"https://www.yenny-elateneo.com/productos/economia-verdades-y-mentiras/","Oceano","Tapa Blanda",NA,"11/2011",NA,2011
"DESPUES DEL NEOLIBERALISMO","Carlos M. Vilas",15000,"https://www.yenny-elateneo.com/productos/despues-del-neoliberalismo/","Universidad Nacional De Lanus","Tapa Blanda",206,"11/2011",72.8155339805825,2011
"LA QUINTA DISCIPLINA","Peter M. Senge",57300,"https://www.yenny-elateneo.com/productos/la-quinta-disciplina/","Granica","Tapa Blanda",490,"09/2011",116.938775510204,2011
"LA EMPRESA EMERGENTE","Rafael Echeverria",25700,"https://www.yenny-elateneo.com/productos/la-empresa-emergente/","Granica","Tapa Blanda",160,"09/2011",160.625,2011
"NUEVAS TEORIAS DE LA EMPRESA","Benjamin Coriat / Olivier Weinstein",26910,"https://www.yenny-elateneo.com/productos/nuevas-teorias-de-la-empresa/","Lenguaje Claro","Tapa Blanda",224,"05/2011",120.133928571429,2011
"GUIA RAPIDA DE LAS 33 ESTRATEGIAS DE LA GUERRA","Robert Greene",27700,"https://www.yenny-elateneo.com/productos/guia-rapida-de-las-33-estrategias-de-la-guerra/","Oceano","Tapa Dura",NA,"05/2011",NA,2011
"VALOR PERDURABLE","Jose Luis Roces",29990,"https://www.yenny-elateneo.com/productos/valor-perdurable/","Temas Grupo Editorial Srl","Tapa Blanda",398,"05/2011",75.3517587939699,2011
"EL EJECUTIVO SAMURAI","Don Schmincke",16000,"https://www.yenny-elateneo.com/productos/el-ejecutivo-samurai/","Edaf","Tapa Blanda",120,"10/2010",133.333333333333,2010
"MUJERES Y VARONES EN LAS ORGANIZACIONES","Lidia Heller",25000,"https://www.yenny-elateneo.com/productos/mujeres-y-varones-en-las-organizaciones/","Pluma Digital","Tapa Blanda",180,"10/2015",138.888888888889,2015
