"titulo","autor","precio","enlace","editorial","encuadernacion","paginas","publicacion","precio_pag","anio"
"LOS SECRETOS DE LA MENTE MILLONARIA ED 20 ANIVERSARIO","T. Harv Eker",40500,"https://www.yenny-elateneo.com/productos/los-secretos-de-la-mente-millonaria-ed-20-aniversario/","Editorial Sirio","Tapa Blanda",280,"04/2025",144.642857142857,2025
"DIRIGIR Y MOTIVAR EQUIPOS","Miguel Angel Aguirre Sanchez",28492.4,"https://www.yenny-elateneo.com/productos/dirigir-y-motivar-equipos/","Piramide","Tapa Blanda",210,"01/2018",135.678095238095,2018
"EL METODO SMART BREVITY","Jim Vandehei / Mike Allen / Roy Schwartz",24500,"https://www.yenny-elateneo.com/productos/el-metodo-smart-brevity/","Koan","Tapa Blanda",224,"09/2024",109.375,2024
"RETIRATE JOVEN Y RICO","Robert T. Kiyosaki",30899,"https://www.yenny-elateneo.com/productos/retirate-joven-y-rico/","Debols!llo","Tapa Blanda",576,"06/2024",53.6440972222222,2024
"LIBRO NEGRO DEL EMPRENDEDOR EL (NE)","Fernando Trias De Bes",22300,"https://www.yenny-elateneo.com/productos/libro-negro-del-emprendedor-el-ne/","Empresa Activa","Tapa Blanda",192,"05/2024",116.145833333333,2024
"SIGUEME. EL PODER DE UN VERDADERO LIDER","John C. Maxwell",20000,"https://www.yenny-elateneo.com/productos/sigueme-el-poder-de-un-verdadero-lider/","V & R Editoras","Tapa Blanda",160,"02/2024",125,2024
"POR QUE LOS RICOS SE VUELVEN MAS RICOS","Robert T. Kiyosaki",26999,"https://www.yenny-elateneo.com/productos/por-que-los-ricos-se-vuelven-mas-ricos/","Debols!llo","Tapa Blanda",384,"08/2022",70.3098958333333,2022
"ACTITUD MENTAL POSITIVA","Napoleon Hill / W. Clement Stone",30900,"https://www.yenny-elateneo.com/productos/actitud-mental-positiva/","Del Fondo Editorial","Tapa Blanda",366,"04/2022",84.4262295081967,2022
"ENTENDER PARA GANAR","Sofia Stamateas",24500,"https://www.yenny-elateneo.com/productos/entender-para-ganar/","Galerna","Tapa Blanda",192,"04/2025",127.604166666667,2025
"EMPRENDER","Dan Kieran",20500,"https://www.yenny-elateneo.com/productos/emprender/","Koan","Tapa Blanda",128,"03/2025",160.15625,2025
"VOLVER A KEYNES","Axel Kicillof",31990,"https://www.yenny-elateneo.com/productos/volver-a-keynes/","Siglo Xxi Editores Argentina","Tapa Blanda",496,"03/2025",64.4959677419355,2025
"PRODUCTIVIDAD FEEL GOOD","Ali Abdaal",30900,"https://www.yenny-elateneo.com/productos/productividad-feel-good/","Planeta","Tapa Blanda",288,"01/2025",107.291666666667,2025
"GIRANDO LA RUEDA","Jim Collins",15732,"https://www.yenny-elateneo.com/productos/girando-la-rueda/","Reverte","Tapa Blanda",50,"07/2022",314.64,2022
"LIDERANDO EQUIPOS","Harvard Business Review",27968,"https://www.yenny-elateneo.com/productos/liderando-equipos/","Reverte","Tapa Blanda",181,"07/2022",154.519337016575,2022
"FELICIDAD","Harvard Business Review",10837.6,"https://www.yenny-elateneo.com/productos/felicidad1/","Reverte","Tapa Blanda",192,"05/2018",56.4458333333333,2018
"LIDERES EXTRAORDINARIOS QUE CAMBIARON EL MUNDO","Tomas Perez Herrera",42500,"https://www.yenny-elateneo.com/productos/lideres-extraordinarios-que-cambiaron-el-mundo/","Profit","Tapa Blanda",202,"11/2024",210.39603960396,2024
"LA RIQUEZA DE LAS NACIONES","Adam Smith",30170.48,"https://www.yenny-elateneo.com/productos/la-riqueza-de-las-naciones1/","Alianza","Tapa Blanda",814,"08/2011",37.0644717444717,2011
"EL SANTO GRIAL DE LA INVERSION","Christopher Zook / Tony J. Robbins",39900,"https://www.yenny-elateneo.com/productos/el-santo-grial-de-la-inversion/","Paidos","Tapa Blanda",368,"11/2024",108.423913043478,2024
"EL LOBO DE LAS INVERSIONES","Jordan Belfort",34100,"https://www.yenny-elateneo.com/productos/el-lobo-de-las-inversiones/","Oceano","Tapa Blanda",312,"11/2024",109.294871794872,2024
"¿JUGAMOS?","Claudio Guz",34990,"https://www.yenny-elateneo.com/productos/jugamos2/","Temas Grupo Editorial Srl","Tapa Blanda",228,"10/2024",153.464912280702,2024
"QUIEN SE HA LLEVADO MI QUESO (NE)","Spencer Johnson",30100,"https://www.yenny-elateneo.com/productos/quien-se-ha-llevado-mi-queso-ne/","Empresa Activa","Tapa Blanda",112,"05/2024",268.75,2024
"LIDERA CON GRATITUD","Adrian Gostick / Chester Elton",23000,"https://www.yenny-elateneo.com/productos/lidera-con-gratitud/","V & R Editoras","Tapa Blanda",304,"04/2024",75.6578947368421,2024
"MARKETING EMPRESARIAL","Phillip Kotler",47900,"https://www.yenny-elateneo.com/productos/marketing-empresarial/","Granica","Tapa Blanda",390,"04/2024",122.820512820513,2024
"INCREMENTA TU IQ FINANCIERO","Robert T. Kiyosaki",26999,"https://www.yenny-elateneo.com/productos/incrementa-tu-iq-financiero/","Debols!llo","Tapa Blanda",280,"05/2022",96.425,2022
"ADN DE EMPRENDEDORA","Sheila Saad",24500,"https://www.yenny-elateneo.com/productos/adn-de-emprendedora/","El Ateneo","Tapa Blanda",256,"10/2023",95.703125,2023
"LAS CLAVES DE LA ESTRATEGIA DEL OCEANO AZUL","W. Chan Kim W. Chan Kim / Renne Mauborgne Renne Mauborgn",46200,"https://www.yenny-elateneo.com/productos/las-claves-de-la-estrategia-del-oceano-azul/","Profit","Tapa Blanda",224,"12/2017",206.25,2017
"EMPRESAS CENTRADAS EN LAS PERSONAS","Alejandro Carrera / Hernan Fitte",34600,"https://www.yenny-elateneo.com/productos/empresas-centradas-en-las-personas/","Granica","Tapa Blanda",352,"04/2025",98.2954545454545,2025
"LA NUEVA ERA DE LAS MARCAS","Marcelo Romeo",23900,"https://www.yenny-elateneo.com/productos/la-nueva-era-de-las-marcas/","Granica","Tapa Blanda",180,"04/2025",132.777777777778,2025
"COACHING DE PERSONAS NO DE PROBLEMAS","Marcia Reynolds",29800,"https://www.yenny-elateneo.com/productos/coaching-de-personas-no-de-problemas/","Granica","Tapa Blanda",240,"02/2025",124.166666666667,2025
"MALCOMIDOS","Soledad Barruti",29000,"https://www.yenny-elateneo.com/productos/malcomidos/","Siglo Xxi Editores Argentina","Tapa Blanda",464,"01/2025",62.5,2025
"ENCUENTRA TU PORQUE","Peter Docker / Simon Sinek / David Mead",31500,"https://www.yenny-elateneo.com/productos/encuentra-tu-porque/","Empresa Activa","Tapa Blanda",256,"01/2025",123.046875,2025
"COMO EVALUAR RESULTADOS","Harvard Business Review",10662.8,"https://www.yenny-elateneo.com/productos/como-evaluar-resultados/","Reverte","Tapa Blanda",NA,"01/2025",NA,2025
"EL ARTE DE LA GUERRA SUN TZU","Michael Nylan",22724,"https://www.yenny-elateneo.com/productos/el-arte-de-la-guerra-sun-tzu/","Reverte","Tapa Blanda",175,"07/2022",129.851428571429,2022
"COMO SER MAS PRODUCTIVO","Harvard Business Review",15732,"https://www.yenny-elateneo.com/productos/como-ser-mas-productivo/","Reverte","Tapa Blanda",107,"07/2022",147.028037383178,2022
"EL CAPITAL VOL. 1","Karl Marx",24790,"https://www.yenny-elateneo.com/productos/el-capital-vol-1/","Siglo Xxi Editores Argentina","Tapa Blanda",424,"09/2002",58.4669811320755,2002
"NEGOCIOS DIGITALES","Daniel Palacios Marques",73870.48,"https://www.yenny-elateneo.com/productos/negocios-digitales/","Piramide","Tapa Blanda",372,"08/2022",198.576559139785,2022
"FUTURO DESCENTRALIZADO","Claudio Fiorillo",29200,"https://www.yenny-elateneo.com/productos/futuro-descentralizado/","Granica","Tapa Blanda",220,"11/2024",132.727272727273,2024
"MOTOSIERRA Y CONFUSION","Mercedes D'alessandro",37799,"https://www.yenny-elateneo.com/productos/motosierra-y-confusion/","Sudamericana","Tapa Blanda",256,"10/2024",147.65234375,2024
"GUITA CON HISTORIA","Mariano Ezequiel Otalora",26999,"https://www.yenny-elateneo.com/productos/guita-con-historia/","Sudamericana","Tapa Blanda",144,"08/2024",187.493055555556,2024
"IMPROVISA","Robert Poynton",20500,"https://www.yenny-elateneo.com/productos/improvisa/","Koan","Tapa Blanda",160,"07/2024",128.125,2024
"EL EMPRENDEDOR","Arturo Elias Ayub",37799,"https://www.yenny-elateneo.com/productos/el-emprendedor/","Grijalbo","Tapa Blanda",200,"03/2024",188.995,2024
"COMO SUPERAR EL BURNOUT","Harvard Business Review",27968,"https://www.yenny-elateneo.com/productos/como-superar-el-burnout/","Reverte","Tapa Blanda",243,"07/2022",115.094650205761,2022
"HOME OFFICE (TRABAJO REMOTO)","Harvard Business Review",27968,"https://www.yenny-elateneo.com/productos/home-office-trabajo-remoto/","Reverte","Tapa Blanda",235,"07/2022",119.012765957447,2022
"COACHING PACK","Norma Perel / Laura Fierro Evans / Damian Goldvarg / Lidia Muradep",74900,"https://www.yenny-elateneo.com/productos/coaching-pack/","Granica","Tapa Blanda",664,"06/2022",112.801204819277,2022
"DOLARIZACION","Ocampo Emilio",42000,"https://www.yenny-elateneo.com/productos/dolarizacion/","Claridad","Tapa Blanda",448,"05/2022",93.75,2022
"PLANIFICACION PATRIMONIAL PARA CELEBRITIES","Martin A. Litwak",21099,"https://www.yenny-elateneo.com/productos/planificacion-patrimonial-para-celebrities/","Music Brokers Argentina","Tapa Blanda",268,"01/2022",78.7276119402985,2022
"UN INICIO EN LA AGILIDAD","Tomas Romero Borzi",6000,"https://www.yenny-elateneo.com/productos/un-inicio-en-la-agilidad/","Dunken","Tapa Blanda",NA,"08/2021",NA,2021
"EL PODER DE SER VALIOSOS","Arnold Schwarzenegger",24000,"https://www.yenny-elateneo.com/productos/el-poder-de-ser-valiosos/","Empresa Activa","Tapa Blanda",192,"11/2023",125,2023
"ERES UN EMPRENDEDOR INVISIBLE?","Valen Bailon",15990,"https://www.yenny-elateneo.com/productos/eres-un-emprendedor-invisible/","Emprenbooks","Tapa Blanda",NA,"09/2023",NA,2023
"EMPRENDE IMPORTANDO","Dany Caceres",20990,"https://www.yenny-elateneo.com/productos/emprende-importando/","Emprenbooks","Tapa Blanda",NA,"09/2023",NA,2023
"LIDERES DE HOY","Maria Gabriela Hoch",22900,"https://www.yenny-elateneo.com/productos/lideres-de-hoy/","El Ateneo","Tapa Blanda",256,"09/2023",89.453125,2023
"ACTITUD MILLONARIA","Gerardo Garcia Manjarrez",20500,"https://www.yenny-elateneo.com/productos/actitud-millonaria/","V & R Editoras","Tapa Blanda",224,"08/2023",91.5178571428571,2023
"LOS 6 TALENTOS LABORALES","Patrick Lencioni",24200,"https://www.yenny-elateneo.com/productos/los-6-talentos-laborales/","Ediciones Urano","Tapa Blanda",224,"08/2023",108.035714285714,2023
"SCRUM MANUAL DE CAMPO","J.j. Sutherland",27700,"https://www.yenny-elateneo.com/productos/scrum-manual-de-campo/","Oceano","Tapa Blanda",236,"02/2021",117.372881355932,2021
"ARGENTINA 2024-2027","Juan Carlos De Pablo",28999,"https://www.yenny-elateneo.com/productos/argentina-2024-2027/","Sudamericana","Tapa Blanda",224,"02/2023",129.459821428571,2023
"GUIA PARA INVERTIR","Robert T. Kiyosaki",35199,"https://www.yenny-elateneo.com/productos/guia-para-invertir/","Debols!llo","Tapa Blanda",672,"01/2023",52.3794642857143,2023
"EL CAMINO DEL LOBO","Jordan Belfort",29900,"https://www.yenny-elateneo.com/productos/el-camino-del-lobo/","Oceano","Tapa Blanda",216,"04/2019",138.425925925926,2019
"QUIERO VENDER","Daniel Colombo",20000,"https://www.yenny-elateneo.com/productos/quiero-vender/","Hojas Del Sur","Tapa Blanda",NA,"05/2017",NA,2017
"SELECCION POR COMPETENCIAS (NUEVA EDICION)","Martha Alles",55900,"https://www.yenny-elateneo.com/productos/seleccion-por-competencias-nueva-edicion/","Granica","Tapa Blanda",432,"12/2016",129.398148148148,2016
"CONSTRUYENDO TALENTO","Martha Alles",52300,"https://www.yenny-elateneo.com/productos/construyendo-talento/","Granica","Tapa Blanda",432,"09/2016",121.064814814815,2016
"DICCIONARIO DE COMPORTAMIENTOS. LA TRILOGIA. VOL 2","Martha Alles",41700,"https://www.yenny-elateneo.com/productos/diccionario-de-comportamientos-la-trilogia-vol-2/","Granica","Tapa Blanda",264,"12/2015",157.954545454545,2015
"MERCADO DE CAPITALES: MANUAL PARA NO ESPECIALISTAS","Monica Erpen",38990,"https://www.yenny-elateneo.com/productos/mercado-de-capitales-manual-para-no-especialistas/","Temas Grupo Editorial Srl","Tapa Dura",274,"08/2010",142.299270072993,2010
"DE GASTADORA A INVERSORA","Carolina Sur",20900,"https://www.yenny-elateneo.com/productos/de-gastadora-a-inversora/","Editorial El Ateneo","Tapa Blanda",160,"06/2025",130.625,2025
"ANEM. EL CAMINO DEL EMPRENDEDOR","Lean Benedetti",25000,"https://www.yenny-elateneo.com/productos/anem-el-camino-del-emprendedor/","Ediciones Andinas","Tapa Blanda",224,"06/2025",111.607142857143,2025
"MENTORES","Tim Ferris",48900,"https://www.yenny-elateneo.com/productos/mentores/","Paidos","Tapa Blanda",744,"01/2020",65.7258064516129,2020
"EL EGO ES EL ENEMIGO","Ryan Holiday",36900,"https://www.yenny-elateneo.com/productos/el-ego-es-el-enemigo/","Paidos","Tapa Blanda",256,"08/2017",144.140625,2017
"LA ORGANIZACION SIN MIEDO","Amy Edmondson",32300,"https://www.yenny-elateneo.com/productos/la-organizacion-sin-miedo/","Arpa","Tapa Blanda",288,"04/2025",112.152777777778,2025
"DIRIGIR CON EXITO SK","Morey Stettner",22200,"https://www.yenny-elateneo.com/productos/dirigir-con-exito-sk/","Profit","Tapa Blanda",128,"04/2025",173.4375,2025
"LIDERAZGCO 19-71","Ivan Armengod Martinez",48900,"https://www.yenny-elateneo.com/productos/liderazgco-19-71/","Profit","Tapa Blanda",192,"04/2025",254.6875,2025
"EL JUEGO INTERIOR DEL TENIS. EDICION 50 ANIVERSARIO","W. Timothy Gallwey",30400,"https://www.yenny-elateneo.com/productos/el-juego-interior-del-tenis-edicion-50-aniversario/","Editorial Sirio","Tapa Blanda",256,"04/2025",118.75,2025
"COMO APRENDER LA EXCELENCIA","Eric Potterat / Alan Eagle",26900,"https://www.yenny-elateneo.com/productos/como-aprender-la-excelencia/","Oceano","Tapa Blanda",304,"01/2025",88.4868421052632,2025
"MASTERY","Robert Greene",52440,"https://www.yenny-elateneo.com/productos/mastery/","Penguin Books","Tapa Blanda",NA,"01/2025",NA,2025
"CAMINO DE LIBERTAD","Joseph E. Stiglitz",38299,"https://www.yenny-elateneo.com/productos/camino-de-libertad/","Taurus","Tapa Blanda",408,"01/2025",93.8700980392157,2025
"METODO PARA","Tiago Forte",13040.08,"https://www.yenny-elateneo.com/productos/metodo-para/","Reverte","Tapa Blanda",NA,"01/2025",NA,2025
"COMO REALIZAR PRESENTACIONES","Harvard Business Review",10662.8,"https://www.yenny-elateneo.com/productos/como-realizar-presentaciones/","Reverte","Tapa Blanda",NA,"01/2025",NA,2025
"COMO COLABORAR VIRTUALMENTE","Harvard Business Review",10662.8,"https://www.yenny-elateneo.com/productos/como-colaborar-virtualmente/","Reverte","Tapa Blanda",NA,"01/2025",NA,2025
"HABLA CON SEGURIDAD. SERIE BUSINESS EXPERTS","Nick Gold",10662.8,"https://www.yenny-elateneo.com/productos/habla-con-seguridad-serie-business-experts/","Reverte","Tapa Blanda",NA,"01/2025",NA,2025
"FUNDADORES","Jimmy Soni",20346.72,"https://www.yenny-elateneo.com/productos/fundadores/","Reverte","Tapa Blanda",NA,"01/2025",NA,2025
"ORGANIZARSE EN EL TRABAJO. SOFT SKILLS","Kenneth Zeigler",21300,"https://www.yenny-elateneo.com/productos/organizarse-en-el-trabajo-soft-skills/","Profit","Tapa Blanda",128,"12/2024",166.40625,2024
"LIDERAZGO SIN LIMITES","Ronald Heifetz",30590,"https://www.yenny-elateneo.com/productos/liderazgo-sin-limites/","Reverte","Tapa Blanda",274,"07/2022",111.642335766423,2022
"RELACIONES DE PODER EN LA OFICINA","Karen Dillon",20976,"https://www.yenny-elateneo.com/productos/relaciones-de-poder-en-la-oficina/","Reverte","Tapa Blanda",188,"12/2018",111.574468085106,2018
"CENTRATE EN EL TRABAJO IMPORTANTE","Harvard Business Review",20976,"https://www.yenny-elateneo.com/productos/centrate-en-el-trabajo-importante/","Reverte","Tapa Blanda",201,"05/2017",104.358208955224,2017
"GESTION DE PROYECTOS","Harvard Business Review",20976,"https://www.yenny-elateneo.com/productos/gestion-de-proyectos/","Reverte","Tapa Blanda",190,"05/2017",110.4,2017
"AUTOCONCIENCIA","Harvard Business Review",10837.6,"https://www.yenny-elateneo.com/productos/autoconciencia/","Reverte","Tapa Blanda",170,"12/2019",63.7505882352941,2019
"CONTROLA EL ESTRES EN EL TRABAJO","Varios Autores Varios Autores / Harvard Business Review Harvard Business Revie",27968,"https://www.yenny-elateneo.com/productos/controla-el-estres-en-el-trabajo/","Reverte","Tapa Blanda",190,"05/2017",147.2,2017
"DIRECCION DE EMPRESAS","Ana Maria Castillo Clavero",75548.56,"https://www.yenny-elateneo.com/productos/direccion-de-empresas/","Piramide","Tapa Blanda",314,"12/2018",240.60050955414,2018
"MANUAL DE RELACIONES PUBLICAS E INSTITUCIONALES","Antonio E. Di Genova",44000,"https://www.yenny-elateneo.com/productos/manual-de-relaciones-publicas-e-institucionales1/","Ampersand","Tapa Blanda",302,"10/2024",145.695364238411,2024
"MARKETING 5.0","Hermawan Kartajaya / Iwan Setiawan / Phillip Kotler",34900,"https://www.yenny-elateneo.com/productos/marketing-5-0/","Lid","Tapa Blanda",216,"06/2022",161.574074074074,2022
"EL HILO DE ORO","Pablo Lamas",18000,"https://www.yenny-elateneo.com/productos/el-hilo-de-oro/","Dunken","Tapa Blanda",NA,"09/2024",NA,2024
"CREENCIAS ECONOMICAS","Ernesto Sandler",3000,"https://www.yenny-elateneo.com/productos/creencias-economicas/","Mucho Gusto","Tapa Blanda",248,"12/2022",12.0967741935484,2022
"HISTORIA DEL DINERO","Kwasi Kwarteng",27700,"https://www.yenny-elateneo.com/productos/historia-del-dinero1/","Turner","Tapa Dura",492,"06/2023",56.3008130081301,2023
"EL CAPITAL DE RIESGO","Sebastian Mallaby",33800,"https://www.yenny-elateneo.com/productos/el-capital-de-riesgo/","Empresa Activa","Tapa Blanda",312,"09/2024",108.333333333333,2024
"MENDIGOS DEL MUNDO","Diego Benenzon",31990,"https://www.yenny-elateneo.com/productos/mendigos-del-mundo/","Temas Grupo Editorial Srl","Tapa Blanda",136,"08/2024",235.220588235294,2024
"FILOSOFIA PARA DIRECTIVOS","Rais Buson",26500,"https://www.yenny-elateneo.com/productos/filosofia-para-directivos/","Lea","Tapa Blanda",192,"08/2024",138.020833333333,2024
"LA RIQUEZA DE LA DIVERSIDAD","Sally Helgesen",24600,"https://www.yenny-elateneo.com/productos/la-riqueza-de-la-diversidad/","Empresa Activa","Tapa Blanda",256,"08/2024",96.09375,2024
"MIRADAS SOBRE LA DESIGUALDAD","Branko; Munoz De Bustillo Llorente Fra Milanovic",38999,"https://www.yenny-elateneo.com/productos/miradas-sobre-la-desigualdad/","Taurus","Tapa Blanda",456,"05/2024",85.5241228070175,2024
"DESACTIVAR LA BOMBA","Andres Hatum",26999,"https://www.yenny-elateneo.com/productos/desactivar-la-bomba/","Vergara","Tapa Blanda",144,"05/2024",187.493055555556,2024
"PODER Y DINERO EN LA ERA DEL BITCOIN","Marco Mallamaci",42000,"https://www.yenny-elateneo.com/productos/poder-y-dinero-en-la-era-del-bitcoin/","Fondo De Cultura Economica","Tapa Blanda",472,"05/2024",88.9830508474576,2024
"UN BEST SELLER PARA TODA LA VIDA","Ryan Holiday",30900,"https://www.yenny-elateneo.com/productos/un-best-seller-para-toda-la-vida/","Oceano","Tapa Blanda",216,"04/2024",143.055555555556,2024
"LA ECONOMIA EXPLICADA PARA QUE AL FIN LA ENTIENDAS","Teiyan Pettinger",28500,"https://www.yenny-elateneo.com/productos/la-economia-explicada-para-que-al-fin-la-entiendas/","Ediciones Urano","Tapa Blanda",288,"04/2024",98.9583333333333,2024
"UNA HISTORIA DE COMO NOS ENDEUDAMOS","Ariel Wilkis",24190,"https://www.yenny-elateneo.com/productos/una-historia-de-como-nos-endeudamos/","Siglo Xxi Editores Argentina","Tapa Blanda",216,"04/2024",111.990740740741,2024
"ADMINISTRACION ESTRATEGICA EN TURISMO","Ugerman Editor",47300,"https://www.yenny-elateneo.com/productos/administracion-estrategica-en-turismo/","Ugerman Editor","Tapa Blanda",242,"03/2024",195.454545454545,2024
"LLEVATE BIEN CON TU BILLETERA","Tiffany Aliche",26500,"https://www.yenny-elateneo.com/productos/llevate-bien-con-tu-billetera/","V & R Editoras","Tapa Blanda",432,"03/2024",61.3425925925926,2024
"GUIA RAPIDA EL ARTE DE LA SEDUCCION - N.E.","Robert Greene",27700,"https://www.yenny-elateneo.com/productos/guia-rapida-el-arte-de-la-seduccion-n-e/","Oceano","Tapa Blanda",NA,"02/2024",NA,2024
"FIN DEL TRABAJO EL?","Luis Guastini",37799,"https://www.yenny-elateneo.com/productos/fin-del-trabajo-el/","Conecta","Tapa Blanda",240,"02/2024",157.495833333333,2024
"EMPRESA PUBLICA Y ESTADO EMPRESARIO EN LA ARGENTINA (1810-2020)","Marcelo Rougier",29300,"https://www.yenny-elateneo.com/productos/empresa-publica-y-estado-empresario-en-la-argentina-1810-2020/","Ciccus","Tapa Blanda",344,"01/2024",85.1744186046512,2024
"ENCIENDE LA LLAMA","Pablo Aragone",20000,"https://www.yenny-elateneo.com/productos/enciende-la-llama/","Hojas Del Sur","Tapa Blanda",160,"06/2022",125,2022
"TU FUTURO TRABAJO","Borja Castelar",19900,"https://www.yenny-elateneo.com/productos/tu-futuro-trabajo/","Galerna","Tapa Blanda",224,"04/2022",88.8392857142857,2022
"INFALIBLE. EL SISTEMA QUE NUNCA FALLA PARA ALCANZAR EL EXITO","Clement W. Stone",26900,"https://www.yenny-elateneo.com/productos/infalible-el-sistema-que-nunca-falla-para-alcanzar-el-exito/","Del Fondo Editorial","Tapa Blanda",300,"04/2022",89.6666666666667,2022
"EL FUTURO DEL COMERCIO QUE SE VIENE","Damian Di Pace",28300,"https://www.yenny-elateneo.com/productos/el-futuro-del-comercio-que-se-viene/","Empresa Activa","Tapa Blanda",304,"04/2022",93.0921052631579,2022
"¡LO QUIERO!","Luke Burgis",30300,"https://www.yenny-elateneo.com/productos/lo-quiero/","Tendencias","Tapa Blanda",384,"04/2022",78.90625,2022
"SU DERECHO A SER RICO","Napoleon Hill",26900,"https://www.yenny-elateneo.com/productos/su-derecho-a-ser-rico/","Del Fondo Editorial","Tapa Blanda",300,"03/2022",89.6666666666667,2022
"GRAN LIBRO DE LA VENTA TELEFONICA","Cesar Piqueras",54500,"https://www.yenny-elateneo.com/productos/gran-libro-de-la-venta-telefonica/","Profit","Tapa Blanda",192,"03/2022",283.854166666667,2022
"EMPRESAS DE FAMILIA. GUIA PRACTICA PARA TRANSFORMAR IDEAS EN RESULTADOS CONCRETOS Y DE EXITO","Hernan Medina",8000,"https://www.yenny-elateneo.com/productos/empresas-de-familia-guia-practica-para-transformar-ideas-en-resultados-concretos-y-de-exito/","Dunken","Tapa Blanda",NA,"01/2022",NA,2022
"SEMIOCAPITALISMO","Antonio Caro",32780,"https://www.yenny-elateneo.com/productos/semiocapitalismo/","Editorial Sb","Tapa Blanda",480,"09/2023",68.2916666666667,2023
"GPS EMPRENDEDOR","Joy Klinko / Luciana Goldstein",28000,"https://www.yenny-elateneo.com/productos/gps-emprendedor/","Az","Tapa Blanda",304,"08/2023",92.1052631578947,2023
"12 PASOS PARA DELEGAR EFECTIVAMENTE","Martha Alles",32600,"https://www.yenny-elateneo.com/productos/12-pasos-para-delegar-efectivamente/","Granica","Tapa Blanda",216,"07/2023",150.925925925926,2023
"Y POR QUE NOT","Daniel Fajardo",30900,"https://www.yenny-elateneo.com/productos/y-por-que-not/","Paidos","Tapa Blanda",232,"07/2023",133.189655172414,2023
"UN MUNDO SIN E-MAIL","Carl Newport",30590,"https://www.yenny-elateneo.com/productos/un-mundo-sin-e-mail/","Reverte","Tapa Blanda",NA,"05/2023",NA,2023
"DEL QUERER AL HACER","Jeremy Kraayenbrink",21100,"https://www.yenny-elateneo.com/productos/del-querer-al-hacer/","Un Mate","Tapa Blanda",250,"03/2021",84.4,2021
"MANIFIESTO CAPITALISTA","Robert T. Kiyosaki",43199,"https://www.yenny-elateneo.com/productos/manifiesto-capitalista/","Aguilar","Tapa Blanda",584,"05/2023",73.9708904109589,2023
"EL FIN DE LA INFLACION","Javier Milei",31900,"https://www.yenny-elateneo.com/productos/el-fin-de-la-inflacion/","Planeta","Tapa Blanda",184,"04/2023",173.369565217391,2023
"LIDERAR DESDE LO FEMENINO","Tatiana Camps",22000,"https://www.yenny-elateneo.com/productos/liderar-desde-lo-femenino/","Urano","Tapa Blanda",208,"04/2023",105.769230769231,2023
"CAPITALISMO CANIBAL","Nancy Fraser",28590,"https://www.yenny-elateneo.com/productos/capitalismo-canibal/","Siglo Xxi Editores Argentina","Tapa Blanda",240,"04/2023",119.125,2023
"DINAMITA MENTAL","Napoleon Hill",26500,"https://www.yenny-elateneo.com/productos/dinamita-mental/","Del Fondo - Citadel","Tapa Blanda",306,"04/2023",86.6013071895425,2023
"CRISIS ECONOMICAS ARGENTINAS . DE MITRE A MACRI","Julian Zicari",35990,"https://www.yenny-elateneo.com/productos/crisis-economicas-argentinas-de-mitre-a-macri/","Continente","Tapa Blanda",288,"08/2020",124.965277777778,2020
"TOYOTA KATA GUIA PRACTICA","Mike Rother",58900,"https://www.yenny-elateneo.com/productos/toyota-kata-guia-practica/","Profit","Tapa Blanda",304,"03/2020",193.75,2020
"CONVERSACIONES TRASCENDENTALES SOBRE ECONOMIA","Juan Carlos De Pablo",24360,"https://www.yenny-elateneo.com/productos/conversaciones-trascendentales-sobre-economia/","Lenguaje Claro","Tapa Blanda",184,"01/2023",132.391304347826,2023
"LA ESCUELA DE NEGOCIOS","Robert T. Kiyosaki",20699,"https://www.yenny-elateneo.com/productos/la-escuela-de-negocios/","Debols!llo","Tapa Blanda",208,"01/2020",99.5144230769231,2020
"AHORA TE PUEDES MARCHAR... O NO","Leo Piccioli",17300,"https://www.yenny-elateneo.com/productos/ahora-te-puedes-marchar-o-no/","V & R Editoras","Tapa Blanda",272,"11/2019",63.6029411764706,2019
"EL SENDERO A LAS RIQUEZAS EN PIENSE Y HAGASE RICO","Napoleon Hill",24900,"https://www.yenny-elateneo.com/productos/el-sendero-a-las-riquezas-en-piense-y-hagase-rico/","Del Fondo Editorial","Tapa Blanda",256,"11/2022",97.265625,2022
"TOYOTA KATA","Mike Rother",70300,"https://www.yenny-elateneo.com/productos/toyota-kata/","Profit","Tapa Blanda",336,"01/2018",209.22619047619,2018
"METAFORAS DEL DESEMPEÑO","Luis Maria Cravino",26990,"https://www.yenny-elateneo.com/productos/metaforas-del-desempeno/","Temas Grupo Editorial Srl","Tapa Blanda",176,"12/2017",153.352272727273,2017
"LIBERTAD LIBERTAD LIBERTAD","Javier Milei / Diego Giacomini",39900,"https://www.yenny-elateneo.com/productos/libertad-libertad-libertad/","Galerna","Tapa Blanda",564,"05/2019",70.7446808510638,2019
"EL JUEGO DEL DINERO","Robert T. Kiyosaki",26999,"https://www.yenny-elateneo.com/productos/el-juego-del-dinero/","Debols!llo","Tapa Blanda",376,"04/2019",71.8058510638298,2019
"CRIPTOMONEDAS","Gonzalo Roberto Arzuaga",26999,"https://www.yenny-elateneo.com/productos/criptomonedas/","Conecta","Tapa Blanda",224,"06/2018",120.53125,2018
"SIMEONE PARTIDO A PARTIDO","Diego Simeone",35900,"https://www.yenny-elateneo.com/productos/simeone-partido-a-partido/","Plataforma Editorial","Tapa Blanda",206,"04/2015",174.271844660194,2015
