"","editorial","paginas","anio","id_libro"
"122","ARPA EDITORES
","172
","01/01/2020
",122
"123","DEBOLSILLO
","576
","01/01/2024
",123
"124","ERREPAR
","10
","01/01/2024
",124
"125","ERREPAR
","10
","01/01/2024
",125
"126","CAPICUA
","160
","01/01/2024
",126
"127","ALSINA
","304
","01/01/1994
",127
"128","ROBERTO RUSSO
","356
","01/01/2024
",128
"129","GRANICA
","354
","01/01/2023
",129
"130","REVERTE
","10
","01/01/2023
",130
"131","REVERTE
","10
","01/01/2023
",131
"132","DIAZ DE SANTOS
","10
","01/01/2013
",132
"133","COOPERATIVAS
","138
","01/01/2000
",133
"134","GRANICA
","276
","01/01/2022
",134
"135","GRUPO LASER
","160
","01/01/2020
",135
"136","REVERTE
","10
","01/01/2019
",136
"137","DEBOLSILLO
","376
","01/01/2019
",137
"138","LID
","152
","01/01/2022
",138
"139","EMPRESA ACTIVA
","176
","01/01/2011
",139
"140","ERREPAR
","10
","01/01/2020
",140
"141","REVERTE
","256
","01/01/2021
",141
"142","REVERTE
","10
","01/01/2023
",142
"143","CONTINENTE
","96
","01/01/2022
",143
"144","SIRIO
","384
","01/01/2016
",144
"145","GRANICA
","360
","01/01/2016
",145
"146","GRANICA
","336
","01/01/2008
",146
"147","GRANICA
","176
","01/01/2004
",147
"148","GRANICA
","494
","01/01/2004
",148
"149","OCEANO
","210
","01/01/2011
",149
"150","FONDO DE CULTURA ECONOMICA
","204
","01/01/2018
",150
"151","FONDO DE CULTURA ECONOMICA
","467
","01/01/2018
",151
"152","UNIR
","168
","01/01/2019
",152
"153","REVERTE
","144
","01/01/2021
",153
"154","GALERNA
","458
","01/01/2020
",154
"155","CONECTA
","384
","01/01/2020
",155
"156","LID
","192
","01/01/2022
",156
"157","PAIDOS
","256
","01/01/2017
",157
"158","ALMALUZ EDITORIAL S.A.
","170
","01/01/2020
",158
"159","GRAN ALDEA
","224
","01/01/2009
",159
"160","SUDAMERICANA
","256
","01/01/2025
",160
"161","SIGLO VEINTIUNO EDITORES ARGENTINA S.A.
","304
","01/01/2015
",161
"162","PROFIT
","10
","01/01/2025
",162
"163","ALFAOMEGA GRUPO EDITOR ARGENTINO S.A.
","134
","01/01/2000
",163
"164","EMPORIO
","280
","01/01/2020
",164
"165","DEBOLSILLO
","264
","01/01/2017
",165
"166","PAIDOS
","232
","01/01/2023
",166
"167","PAIDOS
","352
","01/01/2020
",167
"168","EL ATENEO
","400
","01/01/2019
",168
"169","GRANICA
","10
","01/01/2013
",169
"170","SIGLO VEINTIUNO EDITORES ARGENTINA S.A.
","232
","01/01/2021
",170
"171","EDICIONES B
","192
","01/01/2017
",171
"172","EDICIONES B
","288
","01/01/2017
",172
"173","LEA
","208
","01/01/2018
",173
"174","SIGLO VEINTIUNO EDITORES ARGENTINA S.A.
","128
","01/01/2018
",174
"175","SIGLO VEINTIUNO EDITORES ARGENTINA S.A.
","344
","01/01/2021
",175
"176","SIGLO VEINTIUNO EDITORES ARGENTINA S.A.
","208
","01/01/2018
",176
"177","SIGLO VEINTIUNO EDITORES ARGENTINA S.A.
","320
","01/01/2016
",177
"178","SB
","10
","01/01/2023
",178
"179","EMPRESA ACTIVA
","384
","01/01/2025
",179
"180","IMAGO MUNDI
","642
","01/01/2024
",180
"181","SIGLO XXI EDITORES
","10
","01/01/2024
",181
"182","EDHASA
","236
","01/01/2023
",182
"183","TEMAS GRUPO EDITORIAL
","200
","01/01/2017
",183
"184","DEBOLSILLO
","160
","01/01/2025
",184
"185","GRANICA
","384
","01/01/2011
",185
"186","TAURUS
","456
","01/01/2024
",186
"187","Unión Editorial
","278
","01/01/2024
",187
"188","Unión Editorial
","372
","01/01/2019
",188
"189","CONTINENTE
","192
","01/01/2024
",189
"190","EMPRESA ACTIVA
","384
","01/01/2024
",190
"191","ERREPAR
","10
","01/01/2024
",191
"192","TEMAS GRUPO EDITORIAL
","180
","01/01/2016
",192
"193","REVERTE
","208
","01/01/2024
",193
"194","PROFIT
","10
","01/01/2024
",194
"195","PROFIT
","10
","01/01/2024
",195
"196","PROFIT
","10
","01/01/2024
",196
"197","PROFIT
","10
","01/01/2024
",197
"198","EXPERIMENTA
","260
","01/01/2020
",198
"199","EXPERIMENTA
","164
","01/01/2020
",199
"200",NA,"546
","01/01/2022
",200
"201","ERREPAR
","688
","01/01/2019
",201
"202","FERNANDO CEJAS
","296
","01/01/2018
",202
"203","EMPRESA ACTIVA
","224
","01/01/2023
",203
"204","AGUILAR
","192
","01/01/2024
",204
"205","EMPRESA ACTIVA
","256
","01/01/2024
",205
"206","GRANICA
","304
","01/01/2007
",206
"207","BIBLOS
","146
","01/01/2024
",207
"208","MARCOMBO
","230
","01/01/2024
",208
"209","DUNKEN SRL
","10
","01/01/2022
",209
"210","KOAN
","224
","01/01/2024
",210
"211","EMPRESA ACTIVA
","512
","01/01/2024
",211
"212","ERREPAR
","10
","01/01/2024
",212
"213","REVERTE
","10
","01/01/2024
",213
"214","PROFIT
","10
","01/01/2024
",214
"215","PIRAMIDE
","10
","01/01/2022
",215
"216","DE LOS CUATRO VIENTOS EDITORIAL
","100
","01/01/2024
",216
"217","PROFIT
","112
","01/01/2017
",217
"218","UGERMAN ED. DE JUAN CARLOS UGERMAN
","174
","01/01/2024
",218
"219","OMICRON SYSTEM
","238
","01/01/2006
",219
"220","CONTINENTE
","236
","01/01/2014
",220
"221","LID
","192
","01/01/2024
",221
"222","GRANICA
","208
","01/01/2024
",222
"223","URANO
","272
","01/01/2020
",223
"224","ERREPAR
","10
","01/01/2024
",224
"225","ERREIUS
","10
","01/01/2023
",225
"226","ERREPAR
","10
","01/01/2024
",226
"227","GRANICA
","10
","01/01/2024
",227
"228","GRANICA
","10
","01/01/2024
",228
"229","CONECTA
","240
","01/01/2024
",229
"230","BOOKET
","448
","01/01/2023
",230
"231","PROFIT
","312
","01/01/2023
",231
"232","AMAT
","200
","01/01/2023
",232
"233","AMAT
","412
","01/01/2020
",233
"234","GRANICA
","200
","01/01/2009
",234
"235","EMPRESA ACTIVA
","224
","01/01/2023
",235
"236","GRANICA
","168
","01/01/2023
",236
"237","PROFIT
","376
","01/01/2023
",237
"238","REVERTE
","10
","01/01/2023
",238
"239","PROFIT
","376
","01/01/2018
",239
"240","PROFIT
","320
","01/01/2023
",240
"241","GRANICA
","152
","01/01/2023
",241
"242","GRANICA
","328
","01/01/2023
",242
"243","LEA
","160
","01/01/2023
",243
"244","GRANICA
","352
","01/01/2004
",244
"245","HEMISFERIO SUR
","60
","01/01/2008
",245
"246","REVERTE
","256
","01/01/2021
",246
"247","EMPRESA ACTIVA
","320
","01/01/2023
",247
"248","REVERTE
","320
","01/01/2021
",248
"249","ATLANTIDA
","264
","01/01/2017
",249
"250","DIAZ DE SANTOS
","480
","01/01/2013
",250
"251","DIAZ DE SANTOS
","10
","01/01/2013
",251
"252","SERENDIPIDAD
","10
","01/01/2020
",252
"253","UGERMAN EDITOR
","272
","01/01/2007
",253
"254","Del Fondo Editorial
","256
","01/01/2022
",254
"255","GRANICA
","134
","01/01/2022
",255
"256","GRANICA
","304
","01/01/2022
",256
"257","GRANICA
","240
","01/01/2021
",257
"258","PROFIT
","100
","01/01/2018
",258
"259","AMAT
","144
","01/01/2022
",259
