"","titulo","autor","precio","enlace","id_libro"
"1288","LA ESTAFA DEL TARIFAZO","BERNAL, FEDERICO","$ 21.900,00","https://cuspide.com/producto/la-estafa-del-tarifazo/",1288
"1289","HISTORIA DE LA DEUDA EXTERNA ARGENTINA","GALASSO, NORBERTO","$ 39.300,00","https://cuspide.com/producto/historia-de-la-deuda-externa-argentina-3/",1289
"1290","ECONOMIA POPULAR","NAVARRO, MARIANO","$ 16.400,00","https://cuspide.com/producto/economia-popular-2/",1290
"1291","ORIGEN  APROPIACION Y DESTINOS DEL EXCEDENTE ECONOMICO EN LA ARGENTINA","SBATTELLA, JOSE ALBERTO; BONA,...","$ 12.600,00","https://cuspide.com/producto/origen-apropiacion-y-destinos-del-excedente-economico-en-la-argentina/",1291
"1292","EL RUMBO ARGENTINO","CALCAGNO, ERIC; CALCAGNO, ALFR...","$ 13.000,00","https://cuspide.com/producto/el-rumbo-argentino/",1292
"1293","PATRIA O DOLAR","VANOLI, ALEJANDRO","$ 17.100,00","https://cuspide.com/producto/patria-o-dolar/",1293
"1294","SER CEO . COMPETENCIAS PARA UN SESEMPE/O EFECTIVO","TROLIO, FERNANDO","$ 29.990,00","https://cuspide.com/producto/ser-ceo-competencias-para-un-sesempe-o-efectivo/",1294
"1295","MANUAL DE COMUNIDADES DE PRACTICA","ARBONIES ORTIZ, ANGEL L.","$ 24.024,00","https://cuspide.com/producto/manual-de-comunidades-de-practica/",1295
"1296","LA CAUSA DE LA POBREZA","SARMIENTO, RICARDO","$ 17.000,00","https://cuspide.com/producto/la-causa-de-la-pobreza/",1296
"1297","HACKEANDO EL FUTURO DEL DINERO","SCOTT, BRETT","$ 46.200,00","https://cuspide.com/producto/hackeando-el-futuro-del-dinero/",1297
"1298","ORDEN DE COMPRA","GORODISCHER, JULIAN","$ 9.900,00","https://cuspide.com/producto/orden-de-compra/",1298
"1299","LA SEGUNDA ERA DE LAS MAQUINAS","BRYNJOLFSSON, ERIK","$ 28.990,00","https://cuspide.com/producto/la-segunda-era-de-las-maquinas/",1299
"1300","CUANDO NADA VALE NADA","PATEL, RAJ","$ 9.900,00","https://cuspide.com/producto/cuando-nada-vale-nada/",1300
"1301","DIRIGIENDO PERSONAS","FIGUEIREDO, RUBEN; HATUM, ANDR...","$ 21.990,00","https://cuspide.com/producto/dirigiendo-personas/",1301
"1302","TARIFA SOCIAL","NAVAJAS, FERNANDO","$ 23.990,00","https://cuspide.com/producto/tarifa-social/",1302
"1303","LA IGUALDAD DE OPORTUNIDADES EN LA ARGENTINA",NA,"$ 23.990,00","https://cuspide.com/producto/la-igualdad-de-oportunidades-en-la-argentina/",1303
"1304","EL CRASH DEL 2010","NIO BECERRA, SANTIAGO","$ 9.900,00","https://cuspide.com/producto/el-crash-del-2010/",1304
"1305","LA INVERSION PRIVADA EN LA ARGENTINA ( 1990 – 2000 )","COREMBERG, ARIEL; MAROTTE, BAL...","$ 23.990,00","https://cuspide.com/producto/la-inversion-privada-en-la-argentina-1990-2000/",1305
"1306","EMPRENDEDORES SOCIALES & EMPRESARIOS RESPONSABLES","PALADINO, MARCELO; MILBERG, AM...","$ 23.990,00","https://cuspide.com/producto/emprendedores-sociales-empresarios-responsables/",1306
"1307","LA COMUNICACION INCOMUNICADA","HERRERO MITJANS, SATURNINO","$ 23.990,00","https://cuspide.com/producto/la-comunicacion-incomunicada/",1307
"1308","SIN ATAJOS","GONZALEZ FRAGA, JAVIER; LOUSTE...","$ 25.990,00","https://cuspide.com/producto/sin-atajos/",1308
"1309","EL COMERCIO JUSTO","GENDRON, CORINNE; BISAILLON, V...","$ 14.900,00","https://cuspide.com/producto/el-comercio-justo/",1309
"1310","ARGENTINA","ROJAS, MAURICIO","$ 23.990,00","https://cuspide.com/producto/argentina-2/",1310
"1311","EL BANCO MUNDIAL  INTERVENCION Y DISCIPLINAMIENTO","CORBALAN, MARIA ALEJANDRA","$ 14.300,00","https://cuspide.com/producto/el-banco-mundial-intervencion-y-disciplinamiento/",1311
"1312","CLAVES DEL RETRASO Y DEL PROGRESO DE LA ARGENTINA","LAGOS, MARTIN; FRACCHIA, EDUAR...","$ 24.990,00","https://cuspide.com/producto/claves-del-retraso-y-del-progreso-de-la-argentina/",1312
"1313","VALOR PERDURABLE","ROCES, JOSE LUIS","$ 29.990,00","https://cuspide.com/producto/valor-perdurable/",1313
"1314","CAPITALISMO ZOMBI","HELLER, PABLO","$ 22.600,00","https://cuspide.com/producto/capitalismo-zombi/",1314
"1315","LA FAUNA DE LAS EMPRESAS FAMILIARES","RIDOLFI, CLAUDIO","$ 18.400,00","https://cuspide.com/producto/la-fauna-de-las-empresas-familiares/",1315
"1316","LOS BUITRES DE LA DEUDA","LAUDONIA, MARA","$ 29.200,00","https://cuspide.com/producto/los-buitres-de-la-deuda/",1316
"1317","3. EL CAPITAL  VOL 7  PROCESO GLOBAL DE PRODUCCION CAPITALISTA","MARX, KARL","$ 30.990,00","https://cuspide.com/producto/3-el-capital-vol-7-proceso-global-de-produccion-capitalista/",1317
"1318","PENSAR ESTRATEGICAMENTE","DIXIT, AVINASH","$ 39.501,00","https://cuspide.com/producto/pensar-estrategicamente/",1318
"1319","LA RIQUEZA DE LAS NACIONES","SMITH, ADAM","$ 37.900,00","https://cuspide.com/producto/la-riqueza-de-las-naciones/",1319
"1320","ECONOMIA 3D","LOUSTEAU, MARTIN","$ 26.999,00","https://cuspide.com/producto/economia-3d/",1320
"1321","CONSTRUYENDO ACUERDOS","LORENZO LAGO, ENRIQUE","$ 30.857,00","https://cuspide.com/producto/construyendo-acuerdos/",1321
"1322","ECONOMIA DE BARBACOA","MOLINA MOCHON, JUAN ANTONIO","$ 32.822,50","https://cuspide.com/producto/economia-de-barbacoa/",1322
"1323","PROYECTOS BAJO ATAQUE","GARCIA CASTRO, JAIME","$ 27.425,00","https://cuspide.com/producto/proyectos-bajo-ataque/",1323
"1324","ATRAPADOS","MUOZ LOPEZ, ANGEL","$ 32.822,50","https://cuspide.com/producto/atrapados-2/",1324
"1325","NUEVE LECCIONES SOBRE ECONOMIA Y POLITICA EN EL MARXISMO","ARICO, JOSE M.","$ 30.500,00","https://cuspide.com/producto/nueve-lecciones-sobre-economia-y-politica-en-el-marxismo/",1325
"1326","QUE SON LAS EMPRESAS RECUPERADAS ?","RUGGERI, ANDRES","$ 15.990,00","https://cuspide.com/producto/que-son-las-empresas-recuperadas/",1326
"1327","INTELIGENCIA EMOCIONAL EN EL TRABAJO","GOLEMAN, DANIEL; CHERNISS, CAR...","$ 48.480,00","https://cuspide.com/producto/inteligencia-emocional-en-el-trabajo/",1327
"1328","MAYONESA 3RA VERSION","LEVY, ALBERTO","$ 41.900,00","https://cuspide.com/producto/mayonesa-3ra-version/",1328
"1329","EL PROXIMO MANAGEMENT","GORE, ERNESTO","$ 35.900,00","https://cuspide.com/producto/el-proximo-management/",1329
"1330","EMPRESAS DE FAMILIA","PRESS, EDUARDO","$ 32.900,00","https://cuspide.com/producto/empresas-de-familia/",1330
"1331","DIRECCION ESTRATEGICA EN PAISES EMERGENTES","VASSOLO, ROBERTO S.; SILVESTRI...","$ 31.300,00","https://cuspide.com/producto/direccion-estrategica-en-paises-emergentes/",1331
"1332","NEUROMARKETING EN ACCION","BRAIDOT, NESTOR","$ 32.900,00","https://cuspide.com/producto/neuromarketing-en-accion/",1332
"1333","Como delegar efectivamente en 12 pasos","ALLES, MARTHA","$ 26.900,00","https://cuspide.com/producto/como-delegar-efectivamente-en-12-pasos/",1333
"1334","2. DE LIDER A LIDER","HESSELBEIN, FRANCES; SHRADER, ...","$ 48.900,00","https://cuspide.com/producto/2-de-lider-a-lider/",1334
"1335","PNL Y COMUNICACION","CUDICIO, CATHERINE","$ 32.900,00","https://cuspide.com/producto/pnl-y-comunicacion/",1335
"1336","LA EMPRESA FAMILIAR","LEACH, PETER","$ 39.900,00","https://cuspide.com/producto/la-empresa-familiar/",1336
"1337","COMO SER UN BUEN JEFE EN 12 PASOS","ALLES, MARTHA","$ 24.500,00","https://cuspide.com/producto/como-ser-un-buen-jefe-en-12-pasos/",1337
"1338","LOS SECRETOS DE LA COMUNICACION","THOMSON, PETER","$ 35.300,00","https://cuspide.com/producto/los-secretos-de-la-comunicacion/",1338
"1339","SAFARI A LA ESTRATEGIA","MINTZBERG, HENRY","$ 58.800,00","https://cuspide.com/producto/safari-a-la-estrategia/",1339
"1340","LA ARGENTINA DESEADA","ESPERT, JOSE LUIS","$ 37.799,00","https://cuspide.com/producto/la-argentina-deseada/",1340
"1341","CONECTATE CON EL DINERO","KLARIC, JURGEN","$ 28.900,00","https://cuspide.com/producto/conectate-con-el-dinero/",1341
"1342","PINEDO Y PREBISCH","DE PABLO, JUAN CARLOS","$ 28.999,00","https://cuspide.com/producto/pinedo-y-prebisch/",1342
"1343","EL JUEGO UNA ETICA PARA EL MERCADO",NA,"$ 24.929,00","https://cuspide.com/producto/el-juego-una-etica-para-el-mercado/",1343
"1344","OTRA VUELTA A LA ECONOMIA","LOUSTEAU, MARTIN; CAMPANARIO, ...","$ 43.199,00","https://cuspide.com/producto/otra-vuelta-a-la-economia/",1344
"1345","HECHO EN ARGENTINA","AZPIAZU, DANIEL; SCHORR, MARTI...","$ 22.990,00","https://cuspide.com/producto/hecho-en-argentina/",1345
"1346","SIMPLE : UNA IDEA PARA TRANSFORMAR EL FUTURO","FRIGERIO, GERONIMO","$ 35.699,00","https://cuspide.com/producto/simple-una-idea-para-transformar-el-futuro/",1346
"1347","NO VA MAS","ESPERT, JOSE LUIS","$ 26.999,00","https://cuspide.com/producto/no-va-mas/",1347
"1348","DEBAJO DEL AGUA","LOUSTEAU, MARTIN","$ 38.299,00","https://cuspide.com/producto/debajo-del-agua-2/",1348
